,Domain,Have IP,Have @,URL Length,URL Depth,Redirection,https Domain,TinyURL,Prefix/Suffix,Have client,Have admin,Have login,Have server,.php,.html,.info,.txt,.js,.exe,Num of periods,Is encoded,Num of encoded char,Num of parameters,Num of digits,Num of spec char,iFrame,Mouse Over,Right Click,Web Forwards,Number of page tokens,number of sentences,number of html tags,number of whitespace,url Is Live,HTML Length,Num Objects,Num Embeds,Num Images,Num Links,Num Titles,Num Script,Special Characters,Script To Special Chars Ratio,Script To body Ratio,Body To Special Char Ratio,Label
97,babal.net,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,120,0,142,132,1,0,0,1,23,3,6,0,0,71,0,0,0,0,1,0,14,0.0,0.0,0.1971830985915492,0
99,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,35,1,1,0,0,1,423,75,39,0,1,6946,0,0,0,1,1,6871,1060,6.4820754716981135,0.9892024186582206,0.1526058162971494,0
100,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,27,1,1,0,0,1,423,75,39,0,1,6946,0,0,0,1,1,6871,1060,6.4820754716981135,0.9892024186582206,0.1526058162971494,0
102,mirtesen.ru,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,3,28,14,1,0,0,1,7,5,6,0,1,58,0,0,0,0,0,58,16,3.625,1.0,0.2758620689655172,0
103,mirtesen.ru,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,3,41,16,1,0,0,1,7,9,6,0,1,115,0,0,0,0,0,115,26,4.423076923076923,1.0,0.2260869565217391,0
104,distractify.com,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,1,0,0,1,1761,1693,174,0,0,32602,0,0,4,36,1,15924,8304,1.917630057803468,0.4884362922520091,0.2547083001042881,0
105,jalopnik.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10,1,0,0,1,7951,5357,582,0,1,152140,0,0,12,82,1,30368,37174,0.8169150481519342,0.1996056263967398,0.2443407387932167,0
106,techcrunch.com,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,12,1,0,0,1,9743,2603,143,0,1,249851,0,0,1,5,1,237944,75453,3.1535392893589385,0.9523435967836832,0.3019919872243857,0
107,twitter.com,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,98,1,135,105,1,0,0,1,804,949,123,0,1,89541,0,0,1,6,1,85558,22813,3.750405470565029,0.9555175841234742,0.254777141197887,0
108,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,30,1,1,0,0,1,423,75,39,0,1,6950,0,0,0,1,1,6875,1062,6.4736346516007535,0.9892086330935252,0.1528057553956834,0
109,thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,7,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
110,arstechnica.com,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,10,1,0,0,1,3148,435,400,0,1,19744,0,0,1,79,15,11390,4895,2.326864147088866,0.5768841166936791,0.2479234197730956,0
111,tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,12,1,0,0,0,20469,8203,1464,0,1,257635,0,0,77,190,1,247544,59176,4.18318237123158,0.9608321850680226,0.2296892891105633,0
112,torrentdn.com,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,6,4,12,16,1,0,0,1,2970,492,525,0,1,10671,0,0,17,66,12,5162,2413,2.139245752175715,0.4837409802267828,0.2261268859525817,0
113,searchengineland.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,9,1,0,0,1,9,1,8,0,0,33,0,0,0,0,1,0,4,0.0,0.0,0.1212121212121212,0
114,nesn.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,12,1,0,0,1,12181,2120,2038,0,1,77616,0,0,9,364,51,50991,20737,2.4589381299127164,0.656965058750773,0.2671742939600082,0
115,paytm.com,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,1,9,1,8,0,0,33,0,0,0,0,1,0,4,0.0,0.0,0.1212121212121212,0
116,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,34,1,1,0,0,1,417,75,39,0,1,6908,0,0,0,1,1,6833,1047,6.526265520534862,0.9891430225825132,0.1515634047481181,0
117,metro.co.uk,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,18,1,0,0,1,8176,4403,655,0,1,144302,0,0,20,146,15,23711,30173,0.7858350180625062,0.1643151169075965,0.2090962010228548,0
118,censor.net.ua,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,1,130,66,28,0,0,2037,0,0,1,2,1,0,467,0.0,0.0,0.2292587137947962,0
119,depositphotos.com,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,2,1,10,9,1,0,0,1,456,204,110,0,1,219090,0,0,0,2,1,218791,904,242.0254424778761,0.9986352640467387,0.0041261581998265,0
120,thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,10,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
121,putlocker.is,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,11,1,0,0,1,27,13,12,0,1,773,0,0,0,0,0,774,7,110.57142857142856,1.001293661060802,0.0090556274256144,0
122,tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,5,1,0,0,1,7618,5101,261,0,0,87697,0,0,5,37,2,87203,19260,4.527673935617861,0.9943669680832868,0.2196198273601149,0
123,lifehacker.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,10,1,0,0,1,17680,6430,1050,0,1,213071,0,0,13,164,11,58797,49752,1.1818017366136035,0.2759502700977608,0.2334996315782063,0
124,extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,14,1,1,0,0,1,32,12,8,0,0,195,0,0,0,0,1,0,38,0.0,0.0,0.1948717948717948,0
125,mylust.com,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,10,1,0,0,1,7405,836,1452,0,1,15628,0,0,188,234,3,7904,3924,2.014271151885831,0.5057588942922959,0.2510877911441003,0
